"","comparison","JI"
"853","27-35",0.166666666666667
"854","27-36",0.5
"855","27-37",0.25
"856","27-38",0.4
"857","27-39",0.25
"858","27-40",0.6
"859","27-41",0.8
"860","27-42",0.75
"861","27-43",0.6
"862","27-44",0.333333333333333
"863","27-45",0.2
"864","27-46",0.5
"865","28-29",0.166666666666667
"866","28-30",0.25
"867","28-31",0
"868","28-32",0.75
"869","28-33",0
"870","28-34",0.25
"871","28-35",0.2
"872","28-36",0
"873","28-37",0
"874","28-38",0.2
"875","28-39",0.333333333333333
"876","28-40",0.4
"877","28-41",0.6
"878","28-42",0.2
"879","28-43",0.75
"880","28-44",0.4
"881","28-45",0.666666666666667
"882","28-46",0.25
"883","29-30",0.5
"884","29-31",0.25
"885","29-32",0.333333333333333
"886","29-33",0.75
"887","29-34",0.2
"888","29-35",0.75
"889","29-36",0.5
"890","29-37",0.25
"891","29-38",0.75
"892","29-39",0
"893","29-40",0.333333333333333
"894","29-41",0.5
"895","29-42",0.4
"896","29-43",0.333333333333333
"897","29-44",0.6
"898","29-45",0.2
"899","29-46",0.2
"900","30-31",0
"901","30-32",0.5
"902","30-33",0.25
"903","30-34",0
"904","30-35",0.666666666666667
"905","30-36",0.333333333333333
"906","30-37",0
"907","30-38",0.666666666666667
"908","30-39",0
"909","30-40",0
"910","30-41",0.4
"911","30-42",0.25
"912","30-43",0.2
"913","30-44",0.2
"914","30-45",0.333333333333333
"915","30-46",0
"916","31-32",0
"917","31-33",0.333333333333333
"918","31-34",0
"919","31-35",0.333333333333333
"920","31-36",0
"921","31-37",0
"922","31-38",0
"923","31-39",0
"924","31-40",0.25
"925","31-41",0
"926","31-42",0
"927","31-43",0
"928","31-44",0.25
"929","31-45",0
"930","31-46",0
"931","32-33",0.166666666666667
"932","32-34",0.2
"933","32-35",0.4
"934","32-36",0.2
"935","32-37",0
"936","32-38",0.4
"937","32-39",0.25
"938","32-40",0.333333333333333
"939","32-41",0.8
"940","32-42",0.4
"941","32-43",0.6
"942","32-44",0.333333333333333
"943","32-45",0.5
"944","32-46",0.2
"945","33-34",0.25
"946","33-35",0.5
"947","33-36",0.666666666666667
"948","33-37",0.333333333333333
"949","33-38",0.5
"950","33-39",0
"951","33-40",0.4
"952","33-41",0.333333333333333
"953","33-42",0.5
"954","33-43",0.166666666666667
"955","33-44",0.4
"956","33-45",0
"957","33-46",0.25
"958","34-35",0
"959","34-36",0.333333333333333
"960","34-37",0.5
"961","34-38",0.25
"962","34-39",0
"963","34-40",0.5
"964","34-41",0.4
"965","34-42",0.666666666666667
"966","34-43",0.5
"967","34-44",0.5
"968","34-45",0.333333333333333
"969","34-46",1
"970","35-36",0.25
"971","35-37",0
"972","35-38",0.5
"973","35-39",0
"974","35-40",0.166666666666667
"975","35-41",0.333333333333333
"976","35-42",0.2
"977","35-43",0.166666666666667
"978","35-44",0.4
"979","35-45",0.25
"980","35-46",0
"981","36-37",0.5
"982","36-38",0.666666666666667
"983","36-39",0
"984","36-40",0.2
"985","36-41",0.4
"986","36-42",0.666666666666667
"987","36-43",0.2
"988","36-44",0.2
"989","36-45",0
"990","36-46",0.333333333333333
"991","37-38",0.333333333333333
"992","37-39",0
"993","37-40",0.25
"994","37-41",0.2
"995","37-42",0.333333333333333
"996","37-43",0.25
"997","37-44",0.25
"998","37-45",0
"999","37-46",0.5
"1000","38-39",0
"1001","38-40",0.166666666666667
"1002","38-41",0.6
"1003","38-42",0.5
"1004","38-43",0.4
"1005","38-44",0.4
"1006","38-45",0.25
"1007","38-46",0.25
"1008","39-40",0.25
"1009","39-41",0.2
"1010","39-42",0
"1011","39-43",0.25
"1012","39-44",0
"1013","39-45",0
"1014","39-46",0
"1015","40-41",0.5
"1016","40-42",0.4
"1017","40-43",0.6
"1018","40-44",0.6
"1019","40-45",0.2
"1020","40-46",0.5
"1021","41-42",0.6
"1022","41-43",0.8
"1023","41-44",0.5
"1024","41-45",0.4
"1025","41-46",0.4
"1026","42-43",0.4
"1027","42-44",0.4
"1028","42-45",0.25
"1029","42-46",0.666666666666667
"1030","43-44",0.6
"1031","43-45",0.5
"1032","43-46",0.5
"1033","44-45",0.5
"1034","44-46",0.5
"1035","45-46",0.333333333333333
